filter_name;lab;shelf;name_en;name_it;weight;unit;producer;quantity;code;cas;sds;sds_link
S;1.12;2;SODIUM CITRATE TRIBASIC DIHYDRATE;;500;g;SIGMA-ALDRICH;1;S4641-500G;;https://www.sigmaaldrich.com/IT/en/sds/sial/s4641;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/s4641)
S;1.12;2;SODIUM HEXAMETAPHOSPHATE;SODIO ESAMETAFOSFATO;1;Kg;SIGMA-ALDRICH;2;71600-1KG;68915-31-1;https://www.sigmaaldrich.com/IT/en/sds/aldrich/71600;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/71600)
S;1.12;2;SODIUM METABISULFITE;;1;kg;SIGMA ALDRICH;1;13459-1KG;;https://www.sigmaaldrich.com/IT/en/sds/sigald/13459;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/13459)
S;1.12;2;SODIUM METABISULFITE;;1;kg;CARLO ERBA;1;;;https://www.carloerbareagents.com/cerstorefront/cer-it/c/Sodium-metabisulfite%2C-97%25/p/A17351;[SDS](https://www.carloerbareagents.com/cerstorefront/cer-it/c/Sodium-metabisulfite%2C-97%25/p/A17351)
S;1.12;2;SODIUM METABORATE TETRAHYDRATE;;500;g;ACROS ORGANICS;1;;10555-76-7;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR21163~~PDF~~MTR~~CLP1~~EN~~2020-12-20%2016:02:57~~Sodium%20metaborate%20tetrahydrate~~;[SDS](https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR21163~~PDF~~MTR~~CLP1~~EN~~2020-12-20%2016:02:57~~Sodium%20metaborate%20tetrahydrate~~)
S;1.12;2;SODIUM NITROPRUSSIDE DIHYDRATE;SODIO NITRIPRUSSATO DIIDRATO;100;g;SIGMA-ALDRICH;1;13451;13755-38-9;https://www.sigmaaldrich.com/IT/en/sds/sial/13451;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/13451)
S;1.12;2;SODIUM OXALATE SIGMAULTRA;SODIO OSSALATO SIGMAULTRA;100;g;SIGMA-ALDRICH;1;O0136-100G;62-76-0;https://www.sigmaaldrich.com/IT/en/sds/sigald/o0136;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/o0136)
S;1.12;2;SODIUM PHOSPHATE DIBASIC ANHYDROUS;;1;kg;MP;1;;7558-79-4;;[SDS]()
S;1.12;2;SODIUM PYROPHOSPHATE DECAHYDRATE 99%;;1;kg;SIGMA ALDRICH;1;221368-1KG;;https://www.sigmaaldrich.com/IT/en/sds/sigald/221368;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/221368)
S;1.12;2;SODIUM PYROPHOSPHATE TETRABASIC ≥95%;SODIO PIROFOSFATO;500;g;SIGMA-ALDRICH;2;P8010-500g;13472-36-1;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p8010;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/p8010)
S;1.12;2;SODIUM SALICYLATE;;500;g;SIGMA-ALDRICH;2;;;https://www.sigmaaldrich.com/IT/en/sds/mm/1.06601;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.06601)
S;1.12;2;SODIUM SULFATE ANHYDROUS;SOLFATO DI SODIO ANIDRO;1;kg;J.T. BAKER;2;0313;;;[SDS]()
S;1.12;2;SODIUM THIOSULFATE;SODIO TIOSOLFATO;250;g;SIGMA-ALDRICH;1;72049-250G;7772-98-7;https://www.sigmaaldrich.com/IT/en/sds/sigald/72049;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/72049)
A;1.12;3;ALUMINIUM NITRATE NONAHYDRATE;ALLUMINIO NITRATO NONAIDRATO;100;g;SIGMA-ALDRICH;1;237973-100G;7784-27-2;https://www.sigmaaldrich.com/IT/en/sds/sigald/237973;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/237973)
A;1.12;3;ALUMINIUM TRI-SEC BUTYLATE FOR SYNTHESIS;;250;g;SIGMA-ALDRICH;1;8.20054;;https://www.sigmaaldrich.com/IT/en/sds/mm/8.20054;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/8.20054)
A;1.12;3;AMMONIUM ACETATE;AMMONIO CLORURO- ;250;g;Fluka;1;09690;;https://www.sigmaaldrich.com/IT/en/sds/mm/1.01116;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.01116)
A;1.12;3;AMMONIUM CHLORIDE;AMMONIO CLORURO- ;500;g;SIGMA-ALDRICH;1;A9434-500G;12125-02-9;https://www.sigmaaldrich.com/IT/en/sds/sigma/a9434;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/a9434)
A;1.12;3;AMMONIUM MOLYBDATE TETRAHYDRATE;AMMONIO MOLIBDATO TETRAIDRATO;100;g;SIGMA-ALDRICH;2;09878-100G;12054-85-2;https://www.sigmaaldrich.com/IT/en/sds/sigma/09878;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/09878)
A;1.12;3;AMMONIUM NITRATE 98+% ACS REAGENT;;500;g;SIGMA ALDRICH;2;221244-500g;;https://www.sigmaaldrich.com/IT/en/sds/sigald/221244;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/221244)
B;1.12;3;BARIUM CHLORIDE DIHYDRATE;;500;g;SIGMA ALDRICH;1;217565-500G;;https://www.sigmaaldrich.com/IT/en/sds/sigald/217565;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/217565)
B;1.12;3;BARIUM CHLORIDE DIHYDRATE;;500;g;VWR;2;21716.266;;;[SDS]()
B;1.12;3;BARIUM CHLORITE;BARIUM CHLORITE;100;g;SIGMA-ALDRICH;1;;;;[SDS]()
B;1.12;3;BARIUM HYDROXIDE, ANHYDROUS;BARIUM CHLORITE;100;g;Alfa Aesar;1;;17194-00-2;https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=12195;[SDS](https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=12195)
B;1.12;3;BARIUM NITRATE, 99+%;BARIO NITRATO;500;g;Alfa Aesar;1;217581-500G;10022-31-8;https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=12194;[SDS](https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=12194)
C;1.12;3;CALCIUM CARBONATE;CALCIO CARBONATO;1;kg;SIGMA-ALDRICH;1;C6763;471-34-1;https://www.sigmaaldrich.com/IT/en/sds/sigald/c6763;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/c6763)
C;1.12;3;CALCIUM CHLORIDE DIHYDRATE;CALCIO CLORURO DIIDRATO;1;kg;MERCK;1;1.02382.1000;10043-52-44;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02382;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.02382)
C;1.12;3;CALCIUM SULFATE;CALCIO SOLFATO;500;g;SIGMA-ALDRICH;1;237132-500G;7778-18-9;https://www.sigmaaldrich.com/IT/en/sds/sigald/237132;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/237132)
C;1.12;3;COPPER (II) SULPHATE ANHYDROUS;RAME SOLFATO (II) ;500;g;SIGMA-ALDRICH;1;1.02791;;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02791;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.02791)
C;1.12;3;COPPER (II) SULPHATE PENTAHYDRATE;RAME SOLFATO (II) ;500;g;SIGMA-ALDRICH;1;61230-500G-F;7758-99-8;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02792;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.02792)
C;1.12;3;CUPRIC SULFATE ;RAME SOLFATO ;250;g;SIGMA-ALDRICH;1;C2857-250G;7758-99-8;https://www.sigmaaldrich.com/IT/en/sds/sial/c2857;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/c2857)
E;1.12;3;EDTA FERRIC MONOSODIUM SALT TRIHYDRATE;RAME SOLFATO ;250;g;VWR;1;280233V;;;[SDS]()
I;1.12;3;IRON (II) SULFATE HEPTAHYDRATE;;250;g;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/mm/1.03965;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.03965)
I;1.12;3;IRON (II) SULFATE HEPTAHYDRATE;;500;g;J.T. BAKER;1;;;;[SDS]()
I;1.12;3;IRON (III) CHLORIDE HEXAHYDRATE;FERRO (III) CLORURO;500;g;SIGMA-ALDRICH;1;236489-500G;10025-77-1;https://www.sigmaaldrich.com/IT/en/sds/sigald/236489;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/236489)
I;1.12;3;IRON III CHLORIDE;;500;g;Carlo Erba;1;;;;[SDS]()
I;1.12;3;IRON III NITRATE NONAHYDRATE;;1;kg;Carlo Erba;1;451727;;https://www.carloerbareagents.com/cerstorefront/cer-exp/Products-categories/Chemicals/Iron-%28III%29-nitrate-nonahydrate-RPE---For-analysis---ACS/p/095600AA02550;[SDS](https://www.carloerbareagents.com/cerstorefront/cer-exp/Products-categories/Chemicals/Iron-%28III%29-nitrate-nonahydrate-RPE---For-analysis---ACS/p/095600AA02550)
I;1.12;3;IRON POWDER;;500;g;SIGMA-ALDRICH;1;12310;;https://www.sigmaaldrich.com/IT/en/sds/aldrich/12310;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/12310)
M;1.12;3;MAGNESIUM SULFATE ANHYDROUS;;500;g;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/mm/1.06067;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.06067)
M;1.12;3;MAGNESIUM SULFATE HEPTAHYDRATE 99+% ACS Reagent;MAGNESIO SOLFATO EPTAIDRATO 99+% ACS Reagent;1000;g;SIGMA-ALDRICH;1;230391-500G;10034-99-8;https://www.sigmaaldrich.com/IT/en/sds/sigald/230391;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/230391)
M;1.12;3;MANGANESE(II) NITRATE HYDRATE 98%;MANGANESE NITRATO IDRATO;25;g;SIGMA-ALDRICH;1;288640;15710-66-4;https://www.sigmaaldrich.com/IT/en/sds/aldrich/288640;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/288640)
M;1.12;3;MANGANESE(II) SULFATE MONOHYDRATE ;MANGANESE NITRATO TETRA IDRATO;500;g;SIGMA-ALDRICH;1;63547-100;20694-39-7;https://www.sigmaaldrich.com/IT/en/sds/sigald/63547;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/63547)
M;1.12;3;MANGANESE(II) NITRATE TETRAHYDRATE ;;100;g;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/sigald/63547;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/63547)
S;1.12;3;SILVER NITRATE;ARGENTO NITRATO;100;g;SIGMA-ALDRICH;2;S6506-100G;7761-88-8;https://www.sigmaaldrich.com/IT/en/sds/sigald/s6506;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/s6506)
U;1.12;3;UREA, ACS 99.0-100.5% ;;1;kg;SIGMA-ALDRICH;1;U5128;;https://www.sigmaaldrich.com/IT/en/sds/sial/u5128;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/u5128)
Z;1.12;3;ZINC CHLORIDE;ZINCO CLORURO;1;kg;VWR;1;;;;[SDS]()
T;1.12;4;2-THIOBARBITURIC ACID;;25;g;SIGMA ALDRICH;1;T5500;504-17-6;https://www.sigmaaldrich.com/IT/en/sds/sial/t5500;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/t5500)
D;1.12;4;2',7'-DICHLOROFLURESCEIN;;1;g;SIGMA ALDRICH;1;410217;;https://www.sigmaaldrich.com/IT/en/sds/sial/410217;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/410217)
